# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "/proj/uppmax2026-1-61/nobackup/work/tede0387/8_Structural-Annotation/braker3/braker3_output/braker.gtf" "-o" "/proj/uppmax2026-1-61/nobackup/work/tede0387/10_Gene-Quantification/counts.txt" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_3.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_3.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_3.sorted.bam
g942	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1159402;1159782;1160093;1160435;1160724;1160950;1161453;1161723;1162034;1162475;1162897;1163328;1163789;1164263	1159587;1159961;1160185;1160505;1160811;1161129;1161551;1161803;1162157;1162569;1163023;1163431;1163870;1164321	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1569	458	393	362	318	167	285
g943	contig_31_pilon	1174634	1174834	+	201	0	2	0	8	0	0
g944	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1176742;1177878;1178214;1179089	1177727;1178025;1178717;1179442	-;-;-;-	1992	336	628	433	54	22	72
g945	contig_31_pilon	1184070	1184465	+	396	150	80	162	281	190	204
g946	contig_31_pilon	1184599	1185117	+	519	50	30	58	64	43	38
g947	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1189926;1189926;1190190;1190190;1190421;1190421;1190719;1190719;1191082;1191082;1191474;1191682;1191682;1191876;1191876;1192205;1192205;1192522;1192522	1190003;1190003;1190300;1190300;1190504;1190504;1190771;1190771;1191166;1191166;1191569;1191780;1191780;1191932;1191932;1192354;1192354;1192710;1192710	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1002	719	456	477	627	301	609
g948	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1193439;1193439;1193832;1193832;1194523;1194532;1194756;1194756	1193583;1193583;1194290;1194290;1194603;1194603;1194847;1194847	+;+;+;+;+;+;+;+	777	171	195	270	286	175	318
g949	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1195688;1195935;1196458;1196803;1197046	1195819;1196183;1196680;1196916;1197203	-;-;-;-;-	876	371	348	367	161	79	314
g950	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1197556;1197688;1197828;1197828;1198252;1198252;1198613;1198613;1198777;1198777;1199074;1199074;1199422;1199422	1197744;1197744;1197893;1197893;1198308;1198308;1198657;1198657;1198833;1198833;1199187;1199187;1199433;1199433	+;+;+;+;+;+;+;+;+;+;+;+;+;+	540	68	60	65	35	19	38
g951	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1199467;1199643;1199937;1200204;1200478;1200720;1201038;1201243;1201450;1201750;1201920;1202308;1202704;1203174	1199490;1199712;1199992;1200253;1200520;1200818;1201115;1201332;1201512;1201824;1201962;1202405;1202780;1203297	+;+;+;+;+;+;+;+;+;+;+;+;+;+	990	350	327	293	94	51	195
g952	contig_31_pilon;contig_31_pilon	1203938;1205362	1205236;1206555	-;-	2493	34	265	232	64	49	81
g953	contig_31_pilon;contig_31_pilon;contig_31_pilon	1227199;1227251;1227356	1227231;1227658;1227658	-;-;-	441	0	70	61	187	43	113
g954	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1230095;1230095;1230409;1230409;1230805;1230805;1231252;1231252;1231549;1231549;1232021;1232369;1232805;1233209;1233858;1245977;1246397;1246833;1247237;1247886	1230175;1230175;1230637;1230637;1231005;1231005;1231355;1231355;1231659;1231659;1232125;1232442;1232940;1233319;1234286;1246081;1246470;1246968;1247347;1248314	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2436	795	937	1088	896	717	1349
g955	contig_31_pilon	1250892	1251434	-	543	12	6	17	44	19	113
g956	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1252332;1252584;1253088;1253866	1252391;1252977;1253701;1253931	+;+;+;+	1134	506	593	910	1560	1207	1126
g957	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1273103;1273372;1273811;1274072;1274388;1274636;1274844;1275291;1276969;1277525	1273207;1273500;1273895;1274247;1274532;1274734;1275141;1275405;1277079;1277878	+;+;+;+;+;+;+;+;+;+	1617	41	46	68	61	17	38
g958	contig_31_pilon;contig_31_pilon	1277635;1277964	1277827;1278043	-;-	273	34	31	34	17	26	47
g959	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1278161;1278504;1278901;1279149;1279499;1279640	1278295;1278707;1278963;1279343;1279531;1279870	-;-;-;-;-;-	861	295	408	337	212	124	332
g960	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1280832;1281796;1282175;1282673;1282990;1283450;1283754;1284104;1284472;1285202	1281260;1281906;1282310;1282746;1283094;1283560;1283857;1284304;1284700;1285282	+;+;+;+;+;+;+;+;+;+	1581	2288	1865	2268	1394	762	1716
g961	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1291855;1292085;1292809;1293395	1291920;1292698;1293202;1293454	-;-;-;-	1134	1478	1729	1921	2557	2867	1145
g962	contig_31_pilon	1298555	1298818	+	264	14	22	32	21	5	18
g963	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1300230;1300230;1300732;1300732;1301858;1301858;1302585;1302585	1300562;1300562;1301295;1301295;1302262;1302262;1302683;1302725	-;-;-;-;-;-;-;-	1443	702	317	523	4	3	13
g964	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1304924;1305425;1306149;1306842	1304989;1306038;1306542;1306901	-;-;-;-	1134	513	437	554	505	537	376
g965	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1312588;1312588;1312987;1312987;1313530	1312769;1312769;1313112;1313116;1313593	+;+;+;+;+	376	416	378	420	1198	981	656
g966	contig_31_pilon;contig_31_pilon	1314780;1315126	1314909;1315481	-;-	486	15	16	18	67	35	32
g967	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1319101;1319505;1319906;1320310;1320920;1321198;1321504;1321757;1322043;1322354;1322615;1322895;1323371;1323718;1324175;1324438;1324685;1325145;1325709;1326064	1319274;1319644;1319960;1320417;1321018;1321275;1321581;1321909;1322143;1322430;1322688;1322961;1323492;1323978;1324291;1324509;1324735;1325378;1325885;1326198	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2373	738	698	614	305	189	452
g968	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1342912;1342912;1342912;1344321;1344321;1344321;1345183;1345183;1345183;1345417;1345417;1345417;1345711;1345711;1345711;1346190;1346190;1346190;1346706;1346706;1346706;1347308;1347308;1347308;1347476;1347476;1347476;1347793;1347793;1347793;1348008;1348008;1348008;1348376;1348495;1348495;1348717;1348859	1343318;1343318;1343318;1344909;1344909;1344909;1345257;1345257;1345257;1345560;1345560;1345560;1345904;1345904;1345904;1346282;1346282;1346282;1346804;1346804;1346804;1347365;1347365;1347365;1347604;1347604;1347604;1347854;1347854;1347854;1348079;1348079;1348079;1348469;1348597;1348597;1348809;1348954	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2308	41	663	586	30	51	111
g969	contig_31_pilon;contig_31_pilon	1349826;1351459	1351352;1352664	-;-	2733	6	83	85	6	0	1
g970	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1357610;1357610;1357970;1357970;1358295;1358295;1358794;1358794;1359039;1359039;1359341;1359341;1359934;1359934;1360267;1360267;1360712;1360712;1360954;1360954;1361169;1361169;1361623;1361623;1361977;1361977;1363128;1363128	1357831;1357831;1358065;1358065;1358689;1358680;1358826;1358826;1359165;1359165;1359555;1359555;1360071;1360071;1360388;1360388;1360783;1360783;1361025;1361025;1361312;1361312;1361694;1361694;1362109;1362109;1363209;1363209	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1923	1623	1956	1746	2331	1428	1723
g971	contig_31_pilon	1363671	1363883	-	213	90	129	120	151	56	96
g972	contig_31_pilon;contig_31_pilon;contig_31_pilon	1379869;1380290;1381293	1380142;1381197;1381718	+;+;+	1608	55	48	62	37	31	31
g973	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1382118;1382118;1382484;1382484;1383600;1383600;1383949;1383949;1384368;1384368;1384657;1384657;1384845;1384845;1385246;1385246;1385749;1385749;1386207;1386207	1382335;1382335;1383393;1383393;1383812;1383812;1384041;1384029;1384496;1384496;1384728;1384728;1384913;1384913;1385551;1385551;1385862;1385862;1386248;1386248	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2166	344	1085	992	238	318	429
g974	contig_31_pilon;contig_31_pilon	1386449;1386871	1386453;1387183	-;-	318	52	129	119	12	32	37
g975	contig_31_pilon	1387328	1387606	+	279	2	1	0	6	0	6
g976	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1388428;1388781;1389014;1389305;1389695;1390178;1390482;1390879;1391169;1391767;1392109;1392644;1392931	1388512;1388869;1389133;1389464;1389759;1390291;1390546;1390918;1391340;1391879;1392203;1392704;1393278	-;-;-;-;-;-;-;-;-;-;-;-;-	1527	209	256	199	191	234	408
g977	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1407996;1408529;1408911;1409287;1409921;1410184;1410763;1411100;1411582;1412112;1412484;1412768;1412971;1413207;1413520;1413805	1408115;1408592;1409050;1409571;1410043;1410531;1410849;1411167;1411648;1412246;1412564;1412822;1413075;1413278;1413644;1413966	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2037	2554	2003	2310	1813	1179	1816
g978	contig_31_pilon	1414693	1415367	-	675	260	129	151	130	96	218
g979	contig_31_pilon;contig_31_pilon;contig_31_pilon	1415675;1415675;1418025	1417951;1417886;1418095	+;+;+	2348	1288	617	864	703	268	1022
g980	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1424939;1426100;1426539;1426776;1427038;1427457;1427846;1428236;1429642	1426011;1426354;1426653;1426828;1427298;1427507;1428082;1428464;1429800	-;-;-;-;-;-;-;-;-	2433	1817	1242	1408	2738	1894	2861
g981	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1439046;1439390;1439648;1440138;1440406;1440749;1441024;1441519;1441763;1442013;1442200;1442511;1443335	1439120;1439496;1439750;1440245;1440523;1440830;1441232;1441606;1441854;1442083;1442321;1442691;1443442	-;-;-;-;-;-;-;-;-;-;-;-;-	1464	423	513	451	260	149	504
g982	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1443807;1444920;1445390;1445784	1444121;1444988;1445639;1445908	+;+;+;+	759	574	878	755	717	585	1117
g983	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1447070;1447309;1447654;1448149;1448712	1447181;1447539;1447778;1448290;1448977	+;+;+;+;+	876	93	295	151	77	25	118
g984	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1454218;1454896;1455084;1455479;1455760;1456007;1456233;1456551;1456939;1457526;1458126;1459137;1459527;1459755	1454254;1454949;1455348;1455564;1455890;1456056;1456353;1456641;1457112;1457614;1458872;1459204;1459626;1459802	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2061	642	458	473	171	58	263
g985	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1462622;1462900;1463723;1464253;1464871;1465168;1465513;1465798;1466317;1466626;1467127;1467630;1468389	1462668;1463506;1463908;1464483;1464981;1465365;1465644;1465854;1466433;1466703;1467270;1468119;1469101	+;+;+;+;+;+;+;+;+;+;+;+;+	3111	880	912	831	856	374	757
g986	contig_31_pilon;contig_31_pilon	1470814;1471554	1471201;1474117	+;+	2952	474	328	294	506	163	704
g987	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1476395;1476764;1477157;1477859	1476480;1476836;1477347;1477973	-;-;-;-	465	171	275	218	327	140	427
g988	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1484436;1484436;1484436;1484792;1484792;1484792;1484878;1484878;1484878;1485321;1485321;1485321;1485321;1485321;1485321;1485932;1485932;1485932;1485932;1485932;1485932;1486516;1486516;1486516;1486516;1487548;1487548;1487548;1487548;1487548;1487548;1488167;1488167;1488167;1488167;1488167;1488167	1484485;1484485;1484485;1485016;1485016;1485016;1485016;1485016;1485016;1485594;1485594;1485594;1485594;1485594;1485594;1486142;1486142;1486142;1486142;1486142;1486142;1486599;1486572;1486599;1486572;1487584;1487584;1487584;1487584;1487584;1487584;1488223;1488223;1488223;1488217;1488217;1488217	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	938	328	313	324	208	90	461
g989	contig_31_pilon	1530402	1530692	+	291	109	78	105	55	85	96
g990	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1532381;1532794;1533340;1533854;1534221;1534887;1535582;1535999;1536414;1536754;1537065;1537547	1532473;1533099;1533537;1534009;1534528;1535313;1535680;1536134;1536523;1536834;1537166;1537789	-;-;-;-;-;-;-;-;-;-;-;-	2259	633	746	798	1308	574	1480
g991	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1543958;1544590;1545155;1545586	1544362;1545058;1545425;1545823	+;+;+;+	1383	0	0	0	0	0	1
g992	contig_31_pilon	1547702	1548262	+	561	3	18	19	8	18	2
g993	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1549174;1549174;1549806;1549812;1550265;1550265;1550489;1550489;1550803;1550803;1551341;1551341;1551550;1551550	1549482;1549482;1549964;1549964;1550342;1550342;1550571;1550571;1550900;1550900;1551372;1551372;1551618;1551618	-;-;-;-;-;-;-;-;-;-;-;-;-;-	828	248	395	337	178	107	245
g994	contig_31_pilon;contig_31_pilon	1555812;1556337	1555905;1556452	+;+	210	34	133	64	23	15	38
g995	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1557172;1557535;1557695;1558024;1558370;1558707;1558898;1559187;1559555;1559801;1560097;1560611	1557350;1557604;1557812;1558136;1558550;1558780;1559074;1559286;1559595;1559912;1560149;1560781	-;-;-;-;-;-;-;-;-;-;-;-	1389	475	662	564	1426	906	985
g996	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1563056;1563494;1563794;1564195;1564518;1565406;1565584	1563259;1563553;1563961;1564294;1565044;1565465;1565640	+;+;+;+;+;+;+	1176	286	237	284	506	354	519
g997	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1566622;1566622;1566622;1567390;1567420;1567617;1567617;1568211;1568211	1567323;1567270;1567270;1567471;1567471;1567678;1567678;1568362;1568362	+;+;+;+;+;+;+;+;+	998	602	1137	1256	2674	1647	4570
g998	contig_31_pilon	1569173	1569766	-	594	176	163	196	271	185	267
g999	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1572628;1572903;1572962;1573298;1573298;1573948;1573948;1574465;1574465;1574887;1574887;1575454;1575454	1572662;1573126;1573126;1573715;1573715;1574227;1574227;1574640;1574640;1574959;1574959;1575503;1575503	-;-;-;-;-;-;-;-;-;-;-;-;-	1256	108	986	858	245	407	250
g1000	contig_31_pilon	1576901	1577218	-	318	639	8726	8177	3916	6315	5325
g1001	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1583507;1583766;1584053;1584218;1584448;1584835;1585414;1585720;1585959;1586277;1586486;1586688;1586977;1587286;1587552;1587738;1587939;1588184;1588451;1588782;1589010;1589207;1589405;1589684;1589978;1590208;1590492	1583557;1583901;1584105;1584329;1584584;1585034;1585563;1585780;1586079;1586367;1586579;1586783;1587117;1587407;1587644;1587828;1588010;1588240;1588519;1588838;1589084;1589295;1589482;1589822;1590087;1590307;1590596	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2700	604	1334	958	770	806	413
g1002	contig_31_pilon	1591274	1591597	+	324	46	23	46	85	62	51
g1003	contig_31_pilon;contig_31_pilon	1592050;1593156	1593021;1594214	+;+	2031	421	1287	1303	564	413	683
g1004	contig_31_pilon;contig_31_pilon	1594266;1594639	1594287;1594820	+;+	204	5	76	55	8	5	29
g1005	contig_31_pilon	1599644	1600048	+	405	510	353	432	946	691	889
g1006	contig_31_pilon;contig_31_pilon	1600074;1602286	1600628;1603404	+;+	1674	2209	1887	2095	4913	4148	4176
g1007	contig_31_pilon	1604212	1605000	+	789	0	5	10	25	3	33
g1008	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1605204;1605491;1605726;1605945;1606171	1605353;1605567;1605784;1606018;1606221	-;-;-;-;-	411	54	52	49	29	9	20
g1009	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1628182;1629448;1629502;1629781;1629781;1630014;1630014;1630423;1630423;1630637;1630637;1631003;1631003;1631294;1631294	1628184;1629513;1629513;1629833;1629833;1630041;1630041;1630497;1630497;1630741;1630741;1631092;1631092;1631383;1631383	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	510	306	356	290	646	473	520
g1010	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1634053;1634265;1634515;1635002;1635340;1635747;1636038;1636689	1634118;1634329;1634702;1635084;1635427;1635933;1636086;1636916	-;-;-;-;-;-;-;-	954	884	702	705	415	305	660
g1011	contig_31_pilon	1639919	1640707	-	789	17	13	23	58	47	134
g1012	contig_31_pilon	1659414	1659788	-	375	0	0	0	0	0	0
g1013	contig_31_pilon;contig_31_pilon;contig_31_pilon	1660908;1660908;1661838	1661621;1661540;1662053	+;+;+	930	0	0	1	0	0	0
g1014	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1671069;1671069;1671906;1671906;1672551;1672551;1672911;1672911;1673749;1673749;1674422;1674422;1674828;1674828;1675208;1675208;1675721;1675721;1676055;1676908	1671716;1671716;1672436;1672436;1672779;1672779;1673550;1673550;1674284;1674284;1674685;1674685;1675066;1675066;1675429;1675429;1675896;1675882;1676109;1677264	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3897	1663	1231	697	1941	2264	2848
g1015	contig_31_pilon;contig_31_pilon	1687908;1688486	1688122;1688648	-;-	378	17	15	16	64	17	72
g1016	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1690126;1691308;1692160;1693275	1691029;1691655;1692730;1693305	-;-;-;-	1854	638	872	804	502	392	688
g1017	contig_31_pilon;contig_31_pilon;contig_31_pilon	1700444;1701350;1702625	1704013;1704013;1704013	+;+;+	3570	1114	944	772	813	392	1206
g1018	contig_31_pilon	1704952	1705857	-	906	145	122	95	256	127	167
g1019	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1707454;1707850;1708662;1709232;1709465;1709813;1710115;1710404	1707565;1708307;1709068;1709355;1709539;1709930;1710185;1710781	+;+;+;+;+;+;+;+	1743	1096	194	132	622	431	509
g1020	contig_31_pilon	1720977	1721318	-	342	0	0	1	0	0	0
g1021	contig_31_pilon;contig_31_pilon;contig_31_pilon;contig_31_pilon	1726379;1726812;1727262;1728293	1726645;1726884;1727388;1728308	-;-;-;-	483	329	440	522	515	431	435
g1022	contig_31_pilon;contig_31_pilon	1728384;1728761	1728618;1728798	-;-	273	1	0	6	65	12	39
g1023	contig_31_pilon	1729709	1730869	-	1161	747	1171	1425	1205	933	1521
g1024	contig_31_pilon	1734257	1734871	-	615	0	0	0	0	0	4
